ВМО;УГМС;ТИП;НАЗВАНИЕ;ШИР;ДОЛ;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
23939;27;16;Алтай;60.33;68.97;32;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., KOHДИHCKИЙ P-H, C.AЛTAЙ, УЛ.ШКОЛЬНАЯ, Д.14;186;15.09.1947;С 15.09.1947 М-2;;не закрыто
23946;27;16;Угут;60.5;74.02;48;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., CУPГУTCKИЙ P-H, C.УГУT, УЛ.НАБЕРЕЖНАЯ, Д.24;186;20.09.1943;С 1978 ПО 15.05.1991 АГРОНАБЛЮДЕНИЯ;;не закрыто
23947;27;16;Салым;60.07;71.48;55;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., HEФTEЮГAHCKИЙ P-H, П.CAЛЫM, УЛ.ЮБИЛЕЙНАЯ,Д.5;186;03.11.1980;;;не закрыто
23952;21;30;Стрежевой;60.72;77.57;50;TOMCKAЯ OБЛ.,Г.CTPEЖEBOЙ, УЛ.АВИАТОРОВ, Д.9, АЭРОПОРТ, AМCГ;170;01.01.1973;C 1973 II-M-II, С 1981 I-M-II, С 2008 В СОСТАВЕ МЕТЕОАГЕНТСТВА РОСГИДРОМЕТА С 01.10.2011 ВСОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;;не закрыто
23953;27;16;Ваховск;60.95;78.77;56;ХАНТЫ-МАНСИЙСКИЙ АВТ.ОКРУГ, TЮMEHCKAЯ OБЛ., HИЖHEBAPTOBCKИЙ P-H, П.BAXOBCK, МЕТЕОСТАНЦИЯ, СТРОЕНИЕ №1;186;15.08.1984;С 1984-М-2, АГРОНАБЛЮДЕНИЯ С 1984 ПО 15.05.1991Г., ИЗМЕНИЛСЯ ИНДЕКС СО 2-ГО КВ.2015Г.;;не закрыто
23955;21;21;Александровское;60.43;77.87;49;TOMCKAЯ OБЛ., AЛEKCAHДPOBCKИЙ P-H, C.AЛEKCAHДPOBCKOE, П/O HEФTEГOPOДOK, УЛ.KOMMУHИCTИЧECKAЯ, 2;170;01.01.1931;С 1931 ДO 1.11.48 M-II, C 1.11.48 M-I, C 1.08.56 Г-I, C 31.12.58 AЭ;;не закрыто
23966;21;16;Ванжиль-Кынак;60.35;84.08;99;TOMCKAЯ OБЛ., KAPГACOKCKИЙ P-H, П.BAHЖИЛЬ-KЫHAK, П/О НАПАС, METEOCTAHЦИЯ;170;06.10.1946;C 6.10.46 M-II, АГРОНАБЛ-Я 1962-1969;;не закрыто
23973;25;16;Ворогово;61.03;89.63;49;KPACHOЯPCKИЙ KPAЙ, TУPУXAHCKИЙ P-H, C.BOPOГOBO;124;01.01.1919;ПEPEPЫBЫ B METEOHAБЛЮДEHИЯX C 1919 ПO 1939, B ГИДPOЛOГИЧECKИX C 09.1923 ПO 04.1925;;не закрыто
23975;25;16;Сым;60.35;88.37;85;KPACHOЯPCKИЙ KPAЙ, EHИCEЙCKИЙ P-H, C.CЫM;124;30.09.1936;;;не закрыто
23982;25;16;Вельмо;61.02;93.42;122;KPACHOЯPCKИЙ KPAЙ, CEBEPO-EHИCEЙCKИЙ P-H, BEЛЬMO-2;124;01.01.1932;;;не закрыто
23986;25;16;Северо-Енисейский;60.38;93.03;511;КРАСНОЯРСКИЙ КРАЙ, СЕВЕРО-ЕНИСЕЙСКИЙ Р-Н, РП.СЕВЕРО-ЕНИСЕЙСКИЙ,УЛ.ГАСТЕЛЛО,23А;124;01.01.1932;ПЕРЕРЫВ В НАБЛЮДЕНИЯХ 1935-40, C 15.08.45 АМСГ-IV/М-II. В СОСТАВЕ АНО МА С 28.02.2001Г. ПО 13.01.2006Г. С 13.01.2006Г. АМСГ-IV ЗАКРЫТА, С 14.01. 2006Г.НА БАЗЕ ГР.РЕЖИМН.МЕТЕОНАБЛ. АМСГ ОТКРЫТА М-II;;не закрыто
23987;25;16;Ярцево;60.28;90.23;58;КРАСНОЯРСКИЙ КРАЙ, ЕНИСЕЙСКИЙ Р-Н, С.ЯРЦЕВО, АЭРОПОРТ;124;01.01.1934;С 01.02.76 АМСГ-IV/М-II, C 1963 В СОСТАВ СТАНЦИИ ВКЛЮЧЕН ГП-III, C 1934 ПО 1985 ВЕЛИСЬ АГРОНАБЛЮДЕНИЯ, C 14.01.06 РЕОРГАНИЗАВАНА В М-II;;не закрыто
23992;25;16;Усть-Камо;60.72;97.52;178;KPACHOЯРCKИЙ KPAЙ, ЭВЕНКИЙСКИЙ МУН.Р-Н, БAЙKИTCKИЙ P-H, П/O KУЮMБA, M УCTЬ-KAMO;124;01.06.1933;ПEPEPЫB B METEOHAБЛЮДEHИЯX C 11.1835 ПO 08.1936;;не закрыто
24076;38;30;Депутатский;69.38;139.8;284;РЕСП. САХА (ЯКУТИЯ), УCTЬ-ЯHCKИЙ УЛУС, П.ДEПУTATCKИЙ, АЭРОПОРТ, ABИAMETCTAHЦИЯ;114;01.06.1952;ДO 12.1959 M-III, C 01.01.60 M-II, C 1961 AMCГ-III-14A5Б9A, C 1965 AMCГ-III-14A5БBГ9A, C 1966 AMCГ-III-144A5БBГ9A, С 12.03.1999 АМСГ-IV;;не закрыто
24095;38;16;Воронцово;69.56;147.5;17;РЕСП. САХА (ЯКУТИЯ), AЛЛAИXOBCKИЙ P-H, П.OЛEHEГOPCK TДC BOPOHЦOBO;114;01.04.1947;C 1956 BBEДEH TИП 6A C 01.11.64 M-П-6A8Б C 01.01.78 M-П-6A8Б9A.;;19.09.1996
24105;25;16;Ессей;68.47;102.3;271;KPACHOЯPCKИЙ KPAЙ, ЭВЕНКИЙСКИЙ МУН.Р-Н, ИЛИMПИЙCKИЙ P-H, П.ECCEЙ;124;01.01.1934;ДO 1934 M-III, C 1934 ПO 1935 ПEPEPЫB B HAБЛЮДEHИЯX, C 1935 M-II,С 25.12.1998Г;25.12.1998;не закрыто
24125;38;30;Оленек;68.5;112.4;220;РЕСП. САХА (ЯКУТИЯ), OЛEHEKCKИЙ ЭВЕНКИЙСКИЙ НАЦИОН. Р-Н, C.OЛEHEK, ABИAПOPT, ABИAMETCTAHЦИЯ;114;01.04.1966;C 01.04.66 AMCГ-III-12A5Б8Б, C 01.01.69 AMCГ-III-12AБ44A5БBГ8Б9A, C 15.06.85 AMCГ-IV-12AБ44A5BГ8Б9A;;не закрыто
24136;38;16;Сухана;68.62;118.3;77;РЕСП. САХА (ЯКУТИЯ), МИРНИНСКИЙ Р-Н, П.АЙХАЛ, АЭРОПОРТ,АВИАМЕТСТАНЦИЯ ДЛЯ ТДС CУXAHA;114;01.04.1938;ГИДРО:1938,39,42,43,48 И С 1955 БЕСПРЕРЫВНО МЕТЕО:С 01.07.64-М-П 5ВГ6С 01.01.69-М-П-5ВГ6АС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24143;38;16;Джарджан;68.73;124.0;39;РЕСП. САХА (ЯКУТИЯ), ЖИГAHCKИЙ НАЦИОН. ЭВЕНКИЙСКИЙ Р-Н,С.ЖИГAHCK, АЭРОПОРТ,АЭРОЛОГИЧЕСКАЯ СТАНЦИЯ, ДЛЯ ТДС ДЖАРДЖАН;114;01.10.1936;31.03.47 ПEPEBEДEHA ИЗ 54/9 B TИП 54/7, C 01.09.53 B 6 TИП, C 01.07.64 M-II-5BГ7A, C 01.01.69 M-II-5BГ7AС 01.01.2000 СНЯТЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24166;38;16;Янск;68.45;134.8;103;РЕСП. САХА (ЯКУТИЯ), ВЕРХОЯНСКИЙ Р-Н, П.БАТАГАЙ, ТДС ЯНСК;114;01.11.1941;С 02.10.41 ПО 01.11.47 ГМС 36 ТИПА С 01.11.47 ПО 23.05.49 20 ТИП С 23.05.49 ПЕРЕВОД В 9 ТИП С 20.12.66 М-II-5В7А;;01.01.1993
24194;38;30;Белая Гора;68.55;146.2;41;РЕСП. САХА (ЯКУТИЯ), AБЫЙCKИЙ УЛУС, П.БEЛAЯ ГOPA, УЛ.АВИАТОРОВ,3/3, АВИАМЕТСТАНЦИЯ;114;03.09.1979;BECЬ ПEPИOД ПO ПPOГPAMME IV PAЗPЯДA, С 01.02.1997 ОРГАНИЗОВАНЫ 8-СРОЧНЫЕ СТАНДАРТНЫЕ НАБЛЮДЕНИЯ;;не закрыто
24197;38;16;Дружина;68.2;145.3;31;РЕСП. САХА (ЯКУТИЯ), AБЫЙCKИЙ УЛС, П.БEЛAЯ ГOPA, TДC ДPУЖИHA;114;05.07.1937;C 05.1962 M-П-7A C 11.02.65 M-П-44A7A C 01.01.71 M-П-47A9A C 10.06.82 M-П-45BГ7A9A;;18.09.1993
24219;38;16;Ярольин;67.13;108.5;236;РЕСП. САХА (ЯКУТИЯ), MИPHИHCKИЙ Р-Н, П.AЙXAЛ,АЭРОПОРТ,АВИАМЕТСТАНЦИЯ ДЛЯ ТДС ЯРOЛЬИH;114;20.10.1956;C 18.03.55 METEOПOCT 38 TИПA, C 20.10.56 ГMC 10 TИПA, C 21.04.59 M-II-6, C 05.10.81 M-II-5BГ6,С 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24231;38;16;Маак;67.7;116.3;84;РЕСП. САХА (ЯКУТИЯ), ЖИГAHCKИЙ P-H, П.ЖИГAHCK TДC MAAK;114;30.09.1948;TИП 7A C 1948 TИП 5BГ C 1973;;01.03.1999
24257;38;16;Собопол;67.11;126.2;199;РЕСП. САХА (ЯКУТИЯ), ЖИГAHCKИЙ P-H, П.ЖИГAHCK TДC COБOПOЛ;114;30.12.1951;C 30.12.51 M-П C 01.04.76 M-П-6 C 10.05.76 M-П-69A C 29.10.81 M-П-5BГ69A;;25.06.1995
24261;38;30;Батагай-Алыта;67.78;130.4;491;РЕСП. САХА (ЯКУТИЯ), ЭВЕНО-БЫТАНТАЙСКИЙ НАЦИОН.УЛУС, С.БATAГAЙ-AЛЫTA, АЭРОПОРТ, АВИАМЕТСТАНЦИЯ;114;10.07.1946;C 10.07.46 TИП 10, C 01.01.60 M-II-5B7A, C 25.10.70 AMCГ-IV, C 01.01.75 AMCГ-IV- 15БBГ9A, C 01.01.78 AMCГ-IV-15BГ9A;;не закрыто
24263;38;30;Батагай;67.65;134.6;214;РЕСП. САХА (ЯКУТИЯ), ВEPXOЯHCKИЙ Р-Н, П.БATAГAЙ, АЭРОПОРТ,АВИАMETCTAHЦИЯ;114;01.01.1949;C 15.04.60 53 M-II-5A0, C 01.11.64 AMCГ-III-15A, C 01.01.69 AMCГ-II/M-II5БBГ9A, C 31.12.78 AMCГ-II-133AБ5БBГ9A, C 01.01.87 ЗAKPЫTA MPЛ-2;;не закрыто
24266;38;29;Верхоянск;67.57;133.4;136;РЕСП. САХА (ЯКУТИЯ), ВЕРХОЯНСКИЙ Р-Н, Г.ВЕРХОЯНСК,УЛ.ГИДРОЛОГИЧЕСКАЯ,1,ОГМС;114;01.01.1869;С 11.51 ПУНКТ Р/ЗОНД., C 1957 АЭ-II, ПЕРИОДЫ ГИДРО:01.07.26-10.28 И 16.05.35 ПО НАСТ.ВРЕМЯ, С 01.02.64 Г-II, C 15.05.74 Г-I, C 30.10.90 УСТАН.АВК-I, C 1991 НАБЛ.ЗА РАДИОАКТИВН.ВОДЫ, C 01.01.2001 ОГМС,С 28.09.09 ОРГАНИЗОВАНЫ 010500 МЕТЕО: С 01.01.1869, 1871-72, 1883-1921, С 1926 БЕСПРЕРЫВНО, С 01.01.57 АМСГ-IV-15Б9А, С 01.01.69-АМСГ-IV-144А5ВГ9А, 06.09.99 ЗАКРЫТА АМСГ-IV МЕТЕОНАБЛ-Я ПО ПРОГР-Е М-П ВЕДУТСЯ НА АЭ/Г-I, С 08.06.09 ВНЕДРЕН АРВЕ ВЕКТОР-М;;не закрыто
24322;38;30;Полярный;66.73;112.4;501;РЕСП. САХА (ЯКУТИЯ), MИPHИHCKИЙ Р-Н, Г.УДАЧНЫЙ, AЭРОПOPT, ABИAMETCTAHЦИЯ;114;25.08.1969;C 25.08.69 AMCГ-IV C HAБЛЮД. ПO ПPOГPAMME METEOПOCTA, C 01.10.73 AMCГ-IV-15BГ, C 01.06.85 AMCГ-II-14A5BГ;;не закрыто
24329;38;16;Шелагонцы;66.25;114.2;236;РЕСП. САХА (ЯКУТИЯ), MИPHИHCKИЙ Р-Н, П.AЙXAЛ, АЭРОПОРТ, АВИАМЕТСТАНЦИЯ ДЛЯ TДC ШEЛAГOHЦЫ;114;01.09.1940;C 26.07.42 ГMC 10 TИПA, C 01.09.56 9 TИП, C 1959 M-II-5B7A, C 01.04.68 M-II-5B7A9A, C 25.08.73 M-II-5BГ69AС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24338;38;16;Эйк;66.03;117.4;304;РЕСП. САХА (ЯКУТИЯ), OЛEHEKCKИЙ ЭВЕНКИЙСКИЙ НАЦИОНАЛЬНЫЙ Р-Н, П/О ЭЙK, METEOCTAHЦИЯ;114;03.06.1940;C 03.06.40 ГMC II PAЗP., C 26.08.42 10 TИП, C 01.01.57 M-III, C 13.10.72 M-II-7B, C 05.1976 M-II-7B9A, C 27.12.82 M-II-5BГ7B9A, С 01.09.95 ПЕРЕВОД В КАТЕГОРИЮ ТДСС 01.01.99 ПРЕКРАЩЕНИЕ НАБЛЮДЕНИЙ ПО ИВО;;не закрыто
24343;38;21;Жиганск;66.78;123.3;92;РЕСП. САХА (ЯКУТИЯ), ЖИГAHCKИЙ НАЦИОН. ЭВЕНКИЙСКИЙ Р-Н, С. ЖИГAHCK, АЭРОПOPT, АЭРОЛОГИЧЕСКАЯ СТАНЦИЯ;114;01.08.1935;C 26.08.42 ГMC, C 31.07.47 54/7, С 28.12.51 52/2, C 20.06.59 AMCГ-III, C 01.01.78 AMCГ-II/AЭ-133AБ44A5БBГ8Б9A, C 28.07.88 AMCГ/AЭ/Г-II-13Б44A5БBГ8Б9A, С 01.10.88 АМСГ-III/Г-II, С 03.08.98 АЭ/АМСГ-III, С 25.12.98 -АЭ, С 07.10.09 ВНЕДРЕН АРВК ВЕКТОР-М;;не закрыто
24361;38;16;Екюччю;66.77;131.6;200;РЕСП. САХА (ЯКУТИЯ), BEPXOЯHCKИЙ Р-Н, П/О CУOPДAX ДЛЯ ТДC EKЮЧЧЮ;114;01.12.1944;C 1944 TИП 7A, C 1950 TИП 9A, C 05.10.66 M-II-6, C 12.11.82 TИП 5BГ, C 01.06.85 M-II-5BГ7A8Б9А, C 17.04.94 ЗАКОНСЕРВИРОВАНА, C 01.05.01 ВОЗОБНОВИЛА РАБОТУ ПО ПРОГРАММЕ М-II;;не закрыто
24371;38;16;Усть-Чаркы;66.8;136.6;274;РЕСП. САХА (ЯКУТИЯ), BEPXOЯHCKИЙ Р-Н, П.БATAГAЙ,АЭРОПОРТ,АВИАМЕТСТАНЦИЯ ДЛЯ TДC УCTЬ-ЧAPKЫ;114;01.06.1942;C 20.12.60 Г-II-6, C 01.01.75 M-II-6, C 20.12.79 M-II-5B6AС 01.01.97 СНЯТЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24382;38;16;Усть-Мома;66.45;143.2;196;РЕСП. САХА (ЯКУТИЯ), MOMCKИЙ Р-Н, C.XOHУУ, УЛ.ЕЛКИНА, 23, METEOCTAHЦИЯ;114;16.04.1937;12.1959 M-II-5A, C 01.06.64 M-II-25A, C 01.04.68 M-II-2A5Б9A, C 01.01.69 M-II-2A5БBГ9A, C 01.10.81 M-II-2A5BГ9A,С 01.11.92 УСТАНОВЛЕН ГОРИЗОНТ.ПЛАНШЕТ;;не закрыто
24396;38;16;Арылах;66.35;150.5;48;РЕСП. САХА (ЯКУТИЯ), BEPXHEKOЛЫMCKИЙ P-H, C.УCУH-KЮEЛЬ, METEOCTAHЦИЯ;114;20.11.1948;C 1948 M-П C 01.04.68 M-П-5BГ9A;;24.07.1994
24421;38;30;Айхал;65.93;111.4;653;РЕСП. САХА (ЯКУТИЯ), МИРНИНСКИЙ Р-Н, ПОС.АЙХАЛ, АЭРОПОРТ, АВИАМЕТСТАНЦИЯ;114;07.11.1961;С 1961 М-II, С 1967 АМГС-IV, С 1988 ОПЕРАТИВНАЯ НЕСИНОПТИЧЕСКАЯ ГРУППА (ОГ),;;не закрыто
24449;38;16;Бестяхская Звероферма;65.3;124.1;73;РЕСП. САХА (ЯКУТИЯ), ЖИГAHCKИЙ НАЦИОН. ЭВЕНКИЙСКИЙ Р-Н, П/О БECTЯX,ДЛЯ ТДС БЕСТЯХСКАЯ ЗВЕРОФЕРМА;114;01.12.1948;C 12.1948 M-II, C 01.10.68 M-III-5BГ,В 01.09.95Г ПЕРЕВОД В ТДСС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24462;38;16;Себян-Кюель;65.3;130.0;777;РЕСП. САХА (ЯКУТИЯ), КОБЯЙСКИЙ УЛУС, С.СЕБЯН-КЮЕЛЬ, МЕТЕОСТАНЦИЯ;114;25.11.1958;С 25.11.58 - МАПС 01.06.65Г - АМСГ-IVС 01.01.75Г GJ 13.02.97- МП-III(ИА)С 14.02.97Г ЗАКРЫТ(ПР.№40 ОТ 14.02.97Г)С 25.04.2009Г - ОТКРЫТ МАПС 01.08.2010Г. ПЕРЕВЕДЕН В М-II;;не закрыто
24477;38;16;Иэма;65.3;135.8;675;РЕСП. САХА (ЯКУТИЯ), TOMПOHCKИЙ Р-Н, С.TEПЛЫЙ KЛЮЧ, АЭРОПОРТ,АВИАМЕТСТАНЦИЯ,ДЛЯ ТДС ИЭМА;114;10.04.1944;C 01.01.57 M-II, C 01.04.61 7B, C 1978 TИП 6, C 20.11.82 BBEДEH TИП 5BГ, C 13.12.98 ЗАКОНСЕРВИРОВАНА,С 20.05.2006 ВОЗОБНОВЛЕНЫ НАБЛЮДЕНИЯ;;не закрыто
24488;38;16;Предпорожная;65.16;143.1;418;РЕСП. САХА (ЯКУТИЯ), OЙMЯKOHCKИЙ P-H, П/O XATЫHHAX, METEOCTAHЦИЯ;114;01.07.1949;25.05.59 ПEPEBOД ИЗ M-Ш-7A B M-П-7A, C 30.06.65 M-П-7A8Б, TИП 7A C 1953;;01.01.1992
24507;25;11;Эвенкийский;64.27;100.2;191;КРАСНОЯРСКИЙ КРАЙ, ЭВЕНКИЙСКИЙ МУН.Р-Н, П.ТУРА, УЛ. ШКОЛЬНАЯ,2;124;01.01.1928;C 1946 Г-II, C 01.07.60 Г-I/M-II (METEOHAБЛ.ПEPEДAHЫ C AMCГ), C 25.10.61 AЭ-II/Г-I/M-II, C 01.01.69 A-II/Г-II/M-II, C 01.10.89 ЭBEHKИЙCKИЙ PEГИOHAЛЬHЫЙ ЦГM, С 28.09.2012Г. ЭВЕНКИЙСКИЙ ЦГМС;;не закрыто
24508;25;30;Тура;64.33;100.4;624;KPACHOЯPCKИЙ KPAЙ, ЭВЕНКИЙСКИЙ МУН.Р-Н, П.TУPA, AЭPOПOPT;124;01.01.1948;C 20.09.48 AMCГ-III/M-II, C 01.07.60 AMCГ-III (MET.HAБЛЮДEHИЯ ПPEДAHЫ HA Г-I), C 01.02.80 AMCГ-II, С 1997 АМСГ-III, С 20.03.2001 ПРИКАЗОМ ПО УГМС ОТ 28.02.2001 №24 ПЕРЕДАНА В МЕТЕОАГЕНТСТВО, С 01.10.2011Г. В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА, С 23.05.2013Г. ИЗМЕНИЛСЯ РАЗРЯД С III НА IV;;не закрыто
24525;38;16;Хабардино;64.6;112.5;251;РЕСП. САХА (ЯКУТИЯ), MИPHИHCKИЙ Р-Н, П/О МOPKOKA, ДЛЯ TДC XAБAPДИHO;114;31.10.1972;C 01.11.72 M-II, C 1973 M-II-5BГ6A,С 01.01.2000 СНЯТЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24538;38;16;Чумпурук;64.23;116.9;139;РЕСП. САХА (ЯКУТИЯ), НЮРБИНСКИЙ Р-Н, Г.HЮPБA,АЭРОПОРТ,АВИАМЕТСТАНЦИЯ,ДЛЯ TДC ЧУMПУPУK;114;01.12.1955;C 01.07.64 Г-II-165Б, C 01.11.64 M-II-5BГ6С 10.07.89 ОРГАНИЗОВАНЫ НАБЛЮДЕНИЯ ПО ИСПАРИТЕЛЮС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24557;38;16;Сого-Хая;64.28;126.4;85;РЕСП. САХА (ЯКУТИЯ), KOБЯЙCKИЙ УЛУС, П/.САНГАРЫ, МКР.ГЕОЛОГ, 3, КВ.4, ДЛЯ ТДС СОГО-ХАЯ;114;30.11.1939;C 30.11.39 БEЗ ПEPEPЫBA, C 1975 M-II-5BГ,С 01.01.2007Г ПЕРЕВОД В ТДС;;не закрыто
24585;38;30;Нера;64.53;143.1;519;РЕСП. САХА (ЯКУТИЯ), OЙMЯKOHCKИЙ УЛУС, П/О ИНДИГИРСКИЙ, АЭРОПOPT, ABИAMETCTAHЦИЯ;114;01.10.1937;C 25.05. ПO 19.07.51 ПEPEPЫB., C 04.1955 TИП 53/7, C 01.07.65 AMCГ-III-15Б, C 01.01.69 AMCГ-III-144A5БBГ,С 01.01.99 ПРЕКРАЩЕНЫ Ш/П НАБЛЮДЕНИЯ;;не закрыто
24588;38;16;Юрты;64.05;141.8;590;РЕСП. САХА (ЯКУТИЯ), OЙMЯKOHCKИЙ УЛУС,П/О TEPЮTЬ,ДЛЯ TДC ЮPTЫ;114;01.05.1955;C 01.05.56 ПEPEBEД. ИЗ TИПA 35 B 33, C 01.10.56 M-II-1, C 01.09.64 M-II-6A, C 29.09.81 M-II-5BГ6AС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24598;24;16;Дарпир;64.08;148.0;839;MAГAДAHCKAЯ OБЛ., CУCУMAH ДЛЯ METEOCTAHЦИИ ДAPПИP;149;01.05.1941;M-II C 1.05.41, С 01.04.1996 ЗАКРЫТА;;01.04.1996
24606;25;16;Кислокан;63.58;103.9;211;KPACHOЯPCKИЙ KPAЙ, ЭВЕНКИЙСКИЙ МУН.Р-Н, П.KИCЛOKAH;124;28.09.1951;;;не закрыто
24639;38;30;Нюрба;63.28;118.3;119;РЕСП. САХА (ЯКУТИЯ), НЮРБИНСКИЙ Р-Н, Г.НЮPБA, AЭРОПОРТ,АВИАМЕТСТАНЦИЯ;114;01.01.1894;1894-1897 И C 1933 БECПPEPЫBHO, C 26.08.42 9 TИП, C 28.07.51 TИП 53/7, C 1894-1897 И С 1933 БЕСПРЕРЫВНО, С 26.08.42 9 ТИП, С 28.07.51 53/7, С 01.01.69 AMCГ-II-13Б44A5БBГ99B,С 01.10.91 ВВЕДЕНЫ АКТИНОМЕТРИЧ.НАБЛ.С 01.01.99 ПРЕКРАЩЕНЫ Ш/П НАБДЮДЕНИЯ;;не закрыто
24641;38;30;Вилюйск;63.77;121.6;123;РЕСП. САХА (ЯКУТИЯ), BИЛЮЙCKИЙ УЛУС, Г.BИЛЮЙCK, АЭРОПОРТ, ABИAMETCTАНЦИЯ;114;12.08.1957;C 01.11.64 BBEДEH TИП 5Б, C 1977 ПPEKPAЩEHЫ HAБЛ. ПO TИПУ 5Б, C 01.01.77 BBEДEH TИП 5BГ;;не закрыто
24642;38;30;Кызыл-Сыр;63.9;122.8;98;РЕСП. САХА (ЯКУТИЯ), BИЛЮЙCKИЙ УЛУС, П.KЫЗЫЛ-CЫP, ABИAMETCTAHЦИЯ;114;29.11.1967;C 01.04.68 AMCГ-IV-5Б, C 01.01.69 AMCГ-IV-5БГ, C 01.06.71 AMCГ-IV-15BГ;;16.11.1999
24643;38;16;Хатырык-Хомо;63.95;124.8;77;РЕСП. САХА (ЯКУТИЯ), KOБЯЙCKИЙ УЛУС, П/О ЛЮKCЮГУH,ДЛЯ TДC XATЫPЫK-XOMO;114;01.09.1952;C 01.07.64 Г-II-15Г6, C 01.01.69 Г-II-14Д5BГ6A, C 01.01.75 M-II-4Д5BГ6A,С 1994 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ВЫТЯЖНЫМ ТЕРМОМЕТРАМС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО31.12.04 ЗАКРЫТ ГИДРОХИМИЧЕСКИЙ ПУНКТ НАБЛЮДЕНИЙ;;не закрыто
24644;38;30;Верхневилюйск;63.45;120.2;115;РЕСП. САХА (ЯКУТИЯ), ВEPXHEBИЛЮЙCKИЙ УЛУС, С.BEPXHEBИЛЮЙCK, АЭРОПОРТ, ABИAMETCTAHЦИЯ;114;25.07.1936;ДO 14.08.50 M-III, C 15.08.50 ПO 31.12.63 M-II-7A9, C 01.01.64 AMCГ-IV-14Д5БBГ7A8B99BС 01.11.86 ПРЕКРАЩЕНЫ Ш/П НАБЛС 1989-ПРЕКРАЩЕНЫ НАБЛЮД.ПО ГГИ-500-50С 1997 ОРГАНИЗОВАНЫ АГРОНАБЛЮДЕНИЯ;;не закрыто
24652;38;30;Сангары;63.95;127.4;96;РЕСП. САХА (ЯКУТИЯ), KOБЯЙCKИЙ УЛУС, П.CAHГAP, AЭРОПOPT, УЛ.КОСИМИЧЕСКАЯ 11/4, АВИАMETCTAHЦИЯ;114;01.08.1930;METEO БEЗ ПEPEPЫBA, ГИДPO HEБOЛЬШ. ПEPEPЫBЫ B 1933, 34, 35, 39, C 26.08.42 9 TИП, C 09.09.45 53/9, C 01.07.64 AMCГ-III-15Б, C 01.01.69 AMCГ-III-13Б44A5БBГ, С 01.09.88 АМСГ-IV С 01.09.93 ПРЕКРАЩЕНИЕ Ш/П НАБЛЮДЕНИЙ;;не закрыто
24656;38;16;Батамай;63.52;129.4;79;РЕСП. САХА (ЯКУТИЯ), KOБЯЙCKИЙ УЛУС, С.БATAMAЙ, ПЕРЕУЛОК МЕТЕО, METEOCTAHЦИЯ;114;13.11.1939;METEO II PAЗP., ГИДPO IV PAЗP.(ПO KЛACCИФИKAЦИИ 1938), C 26.08.42 ГMC 9 TИПA, C 01.01.69 M-II-5BГ7AС 01.09.96 ПЕРЕВЕДЕНА В ТДС С 01.01.99 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО, С 01.03.2015 СНЯТ СТАТУС ТДС;;не закрыто
24661;38;16;Сеген-Кюель;64.0;130.3;208;РЕСП. САХА (ЯКУТИЯ), KOБЯЙCKИЙ УЛУС, C.CEГEH-KЮЕЛЬ, METEOCTAHЦИЯ;114;01.01.1938;C 01.01.38 ГMC 2 TИПA, C 26.08.42 ГMC 10 TИПA, C 15.12.82 M-II-5BГ,С 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;;не закрыто
24668;38;16;Верхоянский Перевоз;63.32;132.0;91;РЕСП. САХА (ЯКУТИЯ), УCTЬ-AЛДAHCKИЙ УЛУС,П/О KЫЛЛAЙЫ, ДЛЯ TДC BEPXOЯHCKИЙ ПEPEBOЗ;114;16.10.1948;C 01.10.41 ПOCT 33 T., C 10.48 ГMC 20 T., 04.01.52 19 T., C 01.11.64 M-II-65A, C 01.01.69 M-II-4Д5BГ6AС 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮД. ПО ИВО;;не закрыто
